Kwartał,Miasto,Rodzaj ceny,Wartość w zł
IV 2013,Kraków,cena transakcyjna,5782.45488
IV 2013,Lublin,cena ofertowa,3314
IV 2013,Lublin,cena ofertowa,5017
IV 2013,Lublin,cena transakcyjna,4796
IV 2013,Łódź,cena ofertowa,4768
IV 2013,Łódź,cena transakcyjna,4423
IV 2013,Olsztyn,cena ofertowa,4898.646
IV 2013,Olsztyn,cena transakcyjna,4526.105
IV 2013,Opole,cena ofertowa,4426.262859
IV 2013,Opole,cena transakcyjna,4638.233079
IV 2013,Poznań,cena ofertowa,6417.455132
IV 2013,Poznań,cena transakcyjna,5867.854568
IV 2013,Rzeszów,cena ofertowa,5102
IV 2013,Rzeszów,cena transakcyjna,4821
IV 2013,Szczecin,cena ofertowa,4895.961521
IV 2013,Szczecin,cena transakcyjna,4741.504588
IV 2013,Warszawa,cena ofertowa,8088.267196
IV 2013,Warszawa,cena transakcyjna,7427.495038
IV 2013,Wrocław,cena ofertowa,5928
IV 2013,Wrocław,cena transakcyjna,5693
IV 2013,Zielona Góra,cena ofertowa,3674
IV 2013,Zielona Góra,cena transakcyjna,3625
IV 2014,Białystok,cena ofertowa,4909
IV 2014,Białystok,cena transakcyjna,4570
IV 2014,Bydgoszcz,cena ofertowa,5149
IV 2014,Bydgoszcz,cena transakcyjna,4618
IV 2014,Gdańsk,cena ofertowa,6289.228883
IV 2014,Gdańsk,cena transakcyjna,5785.164605
IV 2014,Gdynia,cena ofertowa,6004.743866
IV 2014,Gdynia,cena transakcyjna,5877.1407
IV 2014,Katowice,cena ofertowa,5544.663594
IV 2014,Katowice,cena transakcyjna,4906.688437
IV 2014,Kielce,cena ofertowa,4750.275216
IV 2014,Kielce,cena transakcyjna,4601.542915
IV 2014,Kraków,cena ofertowa,6491.090375
IV 2014,Kraków,cena transakcyjna,5722.171748
IV 2014,Lublin,cena ofertowa,5005
IV 2014,Lublin,cena transakcyjna,4967
IV 2014,Łódź,cena ofertowa,4237
IV 2014,Łódź,cena ofertowa,4861
IV 2014,Łódź,cena transakcyjna,4656
IV 2014,Olsztyn,cena ofertowa,4953.766
IV 2014,Olsztyn,cena transakcyjna,4769.065
IV 2014,Opole,cena ofertowa,4771.918808
IV 2014,Opole,cena transakcyjna,4650.830749
IV 2014,Poznań,cena ofertowa,6546.295554
IV 2014,Poznań,cena transakcyjna,6225.140501
IV 2014,Rzeszów,cena ofertowa,5034
IV 2014,Rzeszów,cena transakcyjna,4709
IV 2014,Szczecin,cena ofertowa,4873.605835
IV 2014,Szczecin,cena transakcyjna,4839.431734
IV 2014,Warszawa,cena ofertowa,7691.358071
IV 2014,Warszawa,cena transakcyjna,7314.723077
IV 2014,Wrocław,cena ofertowa,6075
IV 2014,Wrocław,cena transakcyjna,5793
IV 2014,Zielona Góra,cena ofertowa,3784
IV 2014,Zielona Góra,cena transakcyjna,3750
IV 2015,Białystok,cena ofertowa,4886
IV 2015,Białystok,cena transakcyjna,4519
IV 2015,Bydgoszcz,cena ofertowa,5088
IV 2015,Bydgoszcz,cena transakcyjna,4819
IV 2015,Gdańsk,cena ofertowa,6487.950391
IV 2015,Gdańsk,cena transakcyjna,6030.863083
IV 2015,Gdynia,cena ofertowa,6264.550361
IV 2015,Gdynia,cena transakcyjna,6333.692414
IV 2015,Katowice,cena ofertowa,5511.275502
IV 2015,Katowice,cena transakcyjna,5048.501745
IV 2015,Kielce,cena ofertowa,4878.024031
IV 2015,Kielce,cena transakcyjna,4619.943713
IV 2015,Kraków,cena ofertowa,6524.534146
IV 2015,Kraków,cena transakcyjna,6357.267456
IV 2015,Lublin,cena ofertowa,5172
IV 2015,Lublin,cena transakcyjna,4913
IV 2015,Łódź,cena ofertowa,4831
IV 2015,Łódź,cena transakcyjna,4697
IV 2015,Olsztyn,cena ofertowa,4800
IV 2015,Olsztyn,cena ofertowa,4867.796
IV 2015,Olsztyn,cena transakcyjna,4768.461
IV 2015,Opole,cena ofertowa,4597.763343
IV 2015,Opole,cena transakcyjna,4377.030778
IV 2015,Poznań,cena ofertowa,6511.799893
IV 2015,Poznań,cena transakcyjna,6234.407476
IV 2015,Rzeszów,cena ofertowa,5126
IV 2015,Rzeszów,cena transakcyjna,4868
IV 2015,Szczecin,cena ofertowa,4828.881404
IV 2015,Szczecin,cena transakcyjna,4644.15698
IV 2015,Warszawa,cena ofertowa,7788.873947
IV 2015,Warszawa,cena transakcyjna,7461.922544
IV 2015,Wrocław,cena ofertowa,6245
IV 2015,Wrocław,cena transakcyjna,6109
IV 2015,Zielona Góra,cena ofertowa,3870
IV 2015,Zielona Góra,cena transakcyjna,3785
IV 2016,Białystok,cena ofertowa,4707
IV 2016,Białystok,cena transakcyjna,4505
IV 2016,Bydgoszcz,cena ofertowa,5250
IV 2016,Bydgoszcz,cena transakcyjna,4852
IV 2016,Gdańsk,cena ofertowa,6549.534791
IV 2016,Gdańsk,cena transakcyjna,6481.188639
IV 2016,Gdynia,cena ofertowa,6841.708524
IV 2016,Gdynia,cena transakcyjna,6975.271902
IV 2016,Katowice,cena ofertowa,5293.116207
IV 2016,Katowice,cena transakcyjna,5037.853819
IV 2016,Kielce,cena ofertowa,4679.415995
IV 2016,Kielce,cena transakcyjna,4558.990677
IV 2016,Kraków,cena ofertowa,6787.601345
IV 2016,Kraków,cena transakcyjna,6469.252258
IV 2016,Lublin,cena ofertowa,5202
IV 2016,Lublin,cena transakcyjna,5212
IV 2016,Łódź,cena ofertowa,5110
IV 2016,Łódź,cena transakcyjna,4850
IV 2016,Olsztyn,cena ofertowa,5629
IV 2016,Olsztyn,cena transakcyjna,5022
IV 2016,Opole,cena ofertowa,
IV 2016,Opole,cena ofertowa,4635.477916
IV 2016,Opole,cena transakcyjna,4538.049221
IV 2016,Poznań,cena ofertowa,6402.75587
IV 2016,Poznań,cena transakcyjna,6285.4909
IV 2016,Rzeszów,cena ofertowa,4842
IV 2016,Rzeszów,cena transakcyjna,5036
IV 2016,Szczecin,cena ofertowa,4880.918051
IV 2016,Szczecin,cena transakcyjna,4830.132243
IV 2016,Warszawa,cena ofertowa,7638.064611
IV 2016,Warszawa,cena transakcyjna,7686.00209
IV 2016,Wrocław,cena ofertowa,6443
IV 2016,Wrocław,cena transakcyjna,6163
IV 2016,Zielona Góra,cena ofertowa,3891
IV 2016,Zielona Góra,cena transakcyjna,3858
IV 2017,Białystok,cena ofertowa,5066
IV 2017,Białystok,cena transakcyjna,4587
IV 2017,Bydgoszcz,cena ofertowa,6041
IV 2017,Bydgoszcz,cena transakcyjna,5177
IV 2017,Gdańsk,cena ofertowa,7370.844583
IV 2017,Gdańsk,cena transakcyjna,6829.488041
IV 2017,Gdynia,cena ofertowa,7954.689089
IV 2017,Gdynia,cena transakcyjna,6901.968757
IV 2017,Katowice,cena ofertowa,5479.364502
IV 2017,Katowice,cena transakcyjna,5266.250419
IV 2017,Kielce,cena ofertowa,4761.515021
IV 2017,Kielce,cena transakcyjna,4689.069236
IV 2017,Kraków,cena ofertowa,6973.830373
IV 2017,Kraków,cena transakcyjna,6790.616267
IV 2017,Lublin,cena ofertowa,5209
IV 2017,Lublin,cena transakcyjna,5093
IV 2017,Łódź,cena ofertowa,5332
IV 2017,Łódź,cena transakcyjna,5148
IV 2017,Olsztyn,cena ofertowa,5575.18
IV 2017,Olsztyn,cena transakcyjna,5386.75
IV 2017,Opole,cena ofertowa,4864.122452
IV 2017,Opole,cena transakcyjna,4796.504667
IV 2017,Poznań,cena ofertowa,4827.2275
IV 2017,Poznań,cena ofertowa,6550.619345
IV 2017,Poznań,cena transakcyjna,6351.831607
IV 2017,Rzeszów,cena ofertowa,4992
IV 2017,Rzeszów,cena transakcyjna,4842
IV 2017,Szczecin,cena ofertowa,5572.614554
IV 2017,Szczecin,cena transakcyjna,5436.478458
IV 2017,Warszawa,cena ofertowa,8019.756102
IV 2017,Warszawa,cena transakcyjna,7750.880271
IV 2017,Wrocław,cena ofertowa,6526.141896
IV 2017,Wrocław,cena transakcyjna,6389
IV 2017,Zielona Góra,cena ofertowa,3937
IV 2017,Zielona Góra,cena transakcyjna,3873
IV 2018,Rzeszów,cena ofertowa,3401
IV 2019,Szczecin,cena ofertowa,3679.123336
IV 2020,Warszawa,cena ofertowa,6095
IV 2021,Wrocław,cena ofertowa,5759
IV 2022,Zielona Góra,cena ofertowa,2869.297734
IV 2023,Białystok,cena transakcyjna,3117
IV 2024,Bydgoszcz,cena transakcyjna,2811
IV 2025,Gdańsk,cena transakcyjna,5252
IV 2026,Gdynia,cena transakcyjna,5284
IV 2027,Katowice,cena transakcyjna,3734.72
IV 2028,Kielce,cena transakcyjna,3014.090525
IV 2029,Kraków,cena transakcyjna,7089
IV 2030,Lublin,cena transakcyjna,3304
IV 2031,Łódź,cena transakcyjna,3642
IV 2032,Olsztyn,cena transakcyjna,2869
IV 2033,Opole,cena transakcyjna,3342.843092
IV 2034,Poznań,cena transakcyjna,4725.658134
IV 2035,Rzeszów,cena transakcyjna,3013
IV 2036,Szczecin,cena transakcyjna,3575.024357
IV 2037,Warszawa,cena transakcyjna,6186
IV 2038,Wrocław,cena transakcyjna,3777
IV 2039,Zielona Góra,cena transakcyjna,2768.751404
