rok,Białystok_laczny_rynek,Białystok_pierwotny_rynek,Białystok_wtorny_rynek,Gdańsk_laczny_rynek,Gdańsk_pierwotny_rynek,Gdańsk_wtorny_rynek,Kraków_laczny_rynek,Kraków_pierwotny_rynek,Kraków_wtorny_rynek,Lublin_laczny_rynek,Lublin_pierwotny_rynek,Lublin_wtorny_rynek,Poznań_laczny_rynek,Poznań_pierwotny_rynek,Poznań_wtorny_rynek,Rzeszów_laczny_rynek,Rzeszów_pierwotny_rynek,Rzeszów_wtorny_rynek,Szczecin_laczny_rynek,Szczecin_pierwotny_rynek,Szczecin_wtorny_rynek,Warszawa_laczny_rynek,Warszawa_pierwotny_rynek,Warszawa_wtorny_rynek,Wrocław_laczny_rynek,Wrocław_pierwotny_rynek,Wrocław_wtorny_rynek,Łódź_laczny_rynek,Łódź_pierwotny_rynek,Łódź_wtorny_rynek
2010,4353.0,4369.0,4234.0,5258.0,5129.0,5535.0,6282.0,6359.0,6131.0,4573.0,4604.0,4504.0,5735.0,6075.0,5185.0,4117.0,4237.0,4083.0,4620.0,4839.0,4319.0,7794.0,7584.0,7848.0,5617.0,5899.0,5381.0,4009.0,5123.0,3735.0
2011,4485.0,4519.0,4348.0,5418.0,5538.0,5332.0,6405.0,6512.0,6133.0,4739.0,4743.0,4737.0,5859.0,6226.0,5209.0,4487.0,4589.0,4370.0,4538.0,4826.0,4120.0,7723.0,7499.0,7795.0,5758.0,6137.0,5329.0,3821.0,4917.0,3654.0
2012,4457.0,4512.0,4092.0,5330.0,5573.0,5015.0,6254.0,6438.0,5882.0,4703.0,4771.0,4524.0,5497.0,5845.0,4866.0,4317.0,4386.0,4188.0,4391.0,4809.0,3814.0,7363.0,7398.0,7343.0,5381.0,5747.0,4979.0,3715.0,4690.0,3417.0
2013,4355.0,4444.0,4093.0,5090.0,5319.0,4800.0,5959.0,6086.0,5634.0,4528.0,4598.0,4408.0,5451.0,5832.0,4847.0,4167.0,4290.0,4054.0,4301.0,4673.0,3753.0,6927.0,6900.0,6939.0,5183.0,5492.0,4777.0,3743.0,4646.0,3247.0
2014,4345.0,4463.0,4000.0,5157.0,5377.0,4922.0,6184.0,6321.0,5684.0,4633.0,4713.0,4438.0,5581.0,5883.0,4947.0,4368.0,4433.0,4179.0,4201.0,4452.0,3799.0,7105.0,7011.0,7174.0,5206.0,5500.0,4825.0,3581.0,4538.0,3234.0
2015,4438.0,4693.0,3974.0,5282.0,5447.0,4984.0,6102.0,6260.0,5787.0,4769.0,4878.0,4532.0,5650.0,5901.0,4968.0,4583.0,4684.0,4380.0,4375.0,4725.0,3878.0,7257.0,7267.0,7248.0,5244.0,5502.0,4894.0,3534.0,4675.0,3241.0
