rodzaj_zabudowy,metry_kwadratowe,stan_mieszkania,okres,bialystok_wlasnosc_prywatna,bialystok_spółdzielnia,bydgoszcz_wlasnosc_prywatna,bydgoszcz_spółdzielnia,czestochowa_wlasnosc_prywatna,czestochowa_spółdzielnia,gdansk_wlasnosc_prywatna,gdansk_spółdzielnia,gdynia_wlasnosc_prywatna,gdynia_spółdzielnia,katowice_wlasnosc_prywatna,katowice_spółdzielnia,krakow_wlasnosc_prywatna,krakow_spółdzielnia,krakow_udział,lodz_wlasnosc_prywatna,lodz_spółdzielnia,lublin_wlasnosc_prywatna,lublin_spółdzielnia,poznan_wlasnosc_prywatna,poznan_spółdzielnia,radom_wlasnosc_prywatna,radom_spółdzielnia,rzeszow_wlasnosc_prywatna,rzeszow_spółdzielnia,szczecin_wlasnosc_prywatna,szczecin_spółdzielnia,warszawa_wlasnosc_prywatna,warszawa_spółdzielnia,wroclaw_wlasnosc_prywatna,wroclaw_spółdzielnia
apartamentowiec,49.63,wysoki_poziom_jakosci,grudzien_2023,486000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,50.39,wysoki_poziom_jakosci,grudzien_2023,666000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,55.48,wysoki_poziom_jakosci,grudzien_2023,629900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,63.42,wysoki_poziom_jakosci,grudzien_2023,730000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,67.55,wysoki_poziom_jakosci,grudzien_2023,689000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,36.0,nizki_poziom_jakosci,grudzien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,709850.0,,,
apartamentowiec,36.0,wysoki_poziom_jakosci,grudzien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,842333.3333333334,,708012.5,
apartamentowiec,37.9,wysoki_poziom_jakosci,grudzien_2023,,,,,,,999000.0,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,38.0,wysoki_poziom_jakosci,grudzien_2023,,,,,,,,,,,,,640000.0,,,,,,,,,,,,,,,,,,
apartamentowiec,41.5,wysoki_poziom_jakosci,grudzien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,850000.0,,,
apartamentowiec,42.62,nizki_poziom_jakosci,grudzien_2023,,,,,,,,,,,,,649000.0,,,,,,,,,,,,,,,,,,
apartamentowiec,42.62,wysoki_poziom_jakosci,grudzien_2023,,,,,,,,,,,,,729000.0,,,,,,,,,,,,,,,,,,
apartamentowiec,47.0,nizki_poziom_jakosci,grudzien_2023,,,,,,,,,,,,,,,,,,,,610000.0,,,,,,,,,,,
apartamentowiec,47.0,wysoki_poziom_jakosci,grudzien_2023,,,,,,,,,,,,,845166.3333333334,,,,,,,520000.0,,,,,,,,1009750.0,,,
apartamentowiec,48.0,wysoki_poziom_jakosci,grudzien_2023,,,,,,,,,,,700000.0,,,,,529000.0,,,,,,,,,,,,,,680000.0,
apartamentowiec,48.2,wysoki_poziom_jakosci,grudzien_2023,,,,,,,,,,,,,788000.0,,,,,,,,,,,,,,,,,,
apartamentowiec,49.0,wysoki_poziom_jakosci,grudzien_2023,,,455000.0,,,,,,,,,,779000.0,,,,,,,,,,,597000.0,,,,1011833.3333333334,,649000.0,
apartamentowiec,49.3,wysoki_poziom_jakosci,grudzien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,986000.0,,,
apartamentowiec,54.0,wysoki_poziom_jakosci,grudzien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030000.0,945000.0,880000.0,
apartamentowiec,54.1,wysoki_poziom_jakosci,grudzien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650000.0,
apartamentowiec,55.0,wysoki_poziom_jakosci,grudzien_2023,,,,,,,,,,,,,,,,590000.0,,,,,,,,,,,,1276962.6666666667,,,
apartamentowiec,60.0,wysoki_poziom_jakosci,grudzien_2023,,,,,,,,,,,619000.0,,,,,720000.0,,,,,,,,,,,,950000.0,,699900.0,
apartamentowiec,61.0,wysoki_poziom_jakosci,grudzien_2023,,,670000.0,,,,,,,,,,1090000.0,,,,,,,,,,,,,,,1445000.0,,852000.0,
apartamentowiec,63.0,wysoki_poziom_jakosci,grudzien_2023,,,,,,,,,,,,,1450000.0,,,,,,,,,,,,,,,1000000.0,,768333.3333333334,
apartamentowiec,80.0,wysoki_poziom_jakosci,grudzien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,1449800.0,,1498001.75,
apartamentowiec,82.0,nizki_poziom_jakosci,grudzien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,1468000.0,,,
apartamentowiec,87.0,wysoki_poziom_jakosci,grudzien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752500.0,,,
apartamentowiec,102.0,nizki_poziom_jakosci,grudzien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,1420000.0,,,
apartamentowiec,102.0,wysoki_poziom_jakosci,grudzien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,2050000.0,,,
apartamentowiec,32.72,wysoki_poziom_jakosci,grudzien_2023,,,385000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,33.0,wysoki_poziom_jakosci,grudzien_2023,,,380000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,480000.0,
apartamentowiec,57.0,wysoki_poziom_jakosci,grudzien_2023,,,599000.0,,,,,,,,,,,,,624500.0,,,,,,,,,,,,1450000.0,,,
apartamentowiec,60.5,wysoki_poziom_jakosci,grudzien_2023,,,685000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,61.62,wysoki_poziom_jakosci,grudzien_2023,,,619000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,63.03,wysoki_poziom_jakosci,grudzien_2023,,,789000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,64.0,nizki_poziom_jakosci,grudzien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,885000.0,,,
apartamentowiec,64.0,wysoki_poziom_jakosci,grudzien_2023,,,659000.0,,,,1799000.0,,,,,,1225000.0,,,,,,,,,,,,,,,1104500.0,,918500.0,
apartamentowiec,65.88,wysoki_poziom_jakosci,grudzien_2023,,,689000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,71.72,wysoki_poziom_jakosci,grudzien_2023,,,849000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,74.15,wysoki_poziom_jakosci,grudzien_2023,,,704425.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,78.84,wysoki_poziom_jakosci,grudzien_2023,,,615000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,78.9,wysoki_poziom_jakosci,grudzien_2023,,,640000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,32.0,wysoki_poziom_jakosci,grudzien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,735000.0,,,
apartamentowiec,35.0,wysoki_poziom_jakosci,grudzien_2023,,,,,,,,,,,,,,,,402500.0,,,,,,,,,,,,,,,
apartamentowiec,42.0,wysoki_poziom_jakosci,grudzien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,892400.0,,,
apartamentowiec,46.0,wysoki_poziom_jakosci,grudzien_2023,,,,,,,,,,,,,1121500.0,,,,,,,,,,,,,,,949000.0,,,
apartamentowiec,46.8,wysoki_poziom_jakosci,grudzien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,960000.0,,,
apartamentowiec,50.0,wysoki_poziom_jakosci,grudzien_2023,,,,,,,895000.0,,,,,,891800.0,,,,,,,820000.0,,,,,,580000.0,,951040.0,,610000.0,
apartamentowiec,51.0,nizki_poziom_jakosci,grudzien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,850000.0,,620000.0,
apartamentowiec,51.0,wysoki_poziom_jakosci,grudzien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699900.0,
apartamentowiec,53.0,wysoki_poziom_jakosci,grudzien_2023,,,,,,,,,,,,,,,,,,,,680000.0,,,,,,,,928800.0,,,
apartamentowiec,54.5,wysoki_poziom_jakosci,grudzien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,1490000.0,,,
apartamentowiec,56.0,wysoki_poziom_jakosci,grudzien_2023,,,,,,,,,,,,,710000.0,,,,,,,,,,,,,430000.0,,980500.0,,1230000.0,
apartamentowiec,60.6,wysoki_poziom_jakosci,grudzien_2023,,,,,,,,,,,,,,,,696900.0,,,,,,,,,,,,,,,
apartamentowiec,72.4,nizki_poziom_jakosci,grudzien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,789000.0,,,
apartamentowiec,74.0,wysoki_poziom_jakosci,grudzien_2023,,,,,,,,,,,,,1070000.0,,,920000.0,,,,,,,,,,,,1294000.0,,899950.0,
apartamentowiec,85.0,wysoki_poziom_jakosci,grudzien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,1220000.0,,,
