rodzaj_zabudowy,metry_kwadratowe,stan_mieszkania,okres,bialystok_wlasnosc_prywatna,bialystok_spółdzielnia,bydgoszcz_wlasnosc_prywatna,bydgoszcz_spółdzielnia,czestochowa_wlasnosc_prywatna,czestochowa_spółdzielnia,gdansk_wlasnosc_prywatna,gdansk_spółdzielnia,gdynia_wlasnosc_prywatna,gdynia_spółdzielnia,katowice_wlasnosc_prywatna,katowice_spółdzielnia,krakow_wlasnosc_prywatna,krakow_spółdzielnia,krakow_udział,lodz_wlasnosc_prywatna,lodz_spółdzielnia,lublin_wlasnosc_prywatna,lublin_spółdzielnia,poznan_wlasnosc_prywatna,poznan_spółdzielnia,radom_wlasnosc_prywatna,radom_spółdzielnia,rzeszow_wlasnosc_prywatna,rzeszow_spółdzielnia,szczecin_wlasnosc_prywatna,szczecin_spółdzielnia,warszawa_wlasnosc_prywatna,warszawa_spółdzielnia,wroclaw_wlasnosc_prywatna,wroclaw_spółdzielnia
apartamentowiec,42.0,wysoki_poziom_jakosci,pazdziernik_2023,479000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,812000.0,,,
apartamentowiec,49.63,wysoki_poziom_jakosci,pazdziernik_2023,486000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,50.0,wysoki_poziom_jakosci,pazdziernik_2023,625000.0,,,,,,1250000.0,,,,,,999500.0,,,600000.0,,,,,,,,,,,,759500.0,,727500.0,
apartamentowiec,57.84,wysoki_poziom_jakosci,pazdziernik_2023,599000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,65.88,wysoki_poziom_jakosci,pazdziernik_2023,645624.0,,689000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,66.09,wysoki_poziom_jakosci,pazdziernik_2023,749000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,67.55,wysoki_poziom_jakosci,pazdziernik_2023,698000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,80.52,wysoki_poziom_jakosci,pazdziernik_2023,750000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,36.0,nizki_poziom_jakosci,pazdziernik_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,850000.0,,,
apartamentowiec,36.0,wysoki_poziom_jakosci,pazdziernik_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,856000.0,,,
apartamentowiec,39.0,wysoki_poziom_jakosci,pazdziernik_2023,,,,,,,,,,,,,,,,410000.0,,,,,,,,,,,,749666.6666666666,,622000.0,
apartamentowiec,46.0,wysoki_poziom_jakosci,pazdziernik_2023,,,,,,,,,,,,,817500.0,,,,,,,,,,,,,,,866000.0,,,
apartamentowiec,46.09,wysoki_poziom_jakosci,pazdziernik_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,850000.0,,,
apartamentowiec,47.0,wysoki_poziom_jakosci,pazdziernik_2023,,,,,,,,,,,,,854750.0,,,,,,,,,,,,,,,965583.3333333334,,520000.0,
apartamentowiec,47.8,wysoki_poziom_jakosci,pazdziernik_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548000.0,
apartamentowiec,48.0,wysoki_poziom_jakosci,pazdziernik_2023,,,,,,,,,,,700000.0,,,,,,,,,,,,,,,,,920000.0,,,
apartamentowiec,52.0,nizki_poziom_jakosci,pazdziernik_2023,,,,,,,,,,,,,1150000.0,,,,,,,,,,,,,,,,,,
apartamentowiec,52.0,wysoki_poziom_jakosci,pazdziernik_2023,,,,,,,,,,,,,729000.0,,,,,,,,,,,,,,,,,608000.0,
apartamentowiec,54.1,wysoki_poziom_jakosci,pazdziernik_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,912600.0,,599000.0,
apartamentowiec,54.21,wysoki_poziom_jakosci,pazdziernik_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,1536000.0,,,
