rodzaj_zabudowy,metry_kwadratowe,stan_mieszkania,okres,bialystok_wlasnosc_prywatna,bialystok_spółdzielnia,bydgoszcz_wlasnosc_prywatna,bydgoszcz_spółdzielnia,czestochowa_wlasnosc_prywatna,czestochowa_spółdzielnia,gdansk_wlasnosc_prywatna,gdansk_spółdzielnia,gdynia_wlasnosc_prywatna,gdynia_spółdzielnia,katowice_wlasnosc_prywatna,katowice_spółdzielnia,krakow_wlasnosc_prywatna,krakow_spółdzielnia,krakow_udział,lodz_wlasnosc_prywatna,lodz_spółdzielnia,lublin_wlasnosc_prywatna,lublin_spółdzielnia,poznan_wlasnosc_prywatna,poznan_spółdzielnia,radom_wlasnosc_prywatna,radom_spółdzielnia,radom_udział,rzeszow_wlasnosc_prywatna,rzeszow_spółdzielnia,szczecin_wlasnosc_prywatna,szczecin_spółdzielnia,warszawa_wlasnosc_prywatna,warszawa_spółdzielnia,wroclaw_wlasnosc_prywatna,wroclaw_spółdzielnia
apartamentowiec,64.0,wysoki_poziom_jakosci,listopad_2023,,,654500.0,,,,,,,,,,1235000.0,,,,,,,,,,,,,,,,1186250.0,,899000.0,
apartamentowiec,65.88,wysoki_poziom_jakosci,listopad_2023,,,685000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,74.15,wysoki_poziom_jakosci,listopad_2023,,,704425.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,75.8,wysoki_poziom_jakosci,listopad_2023,,,700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,78.84,wysoki_poziom_jakosci,listopad_2023,,,615000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,78.9,wysoki_poziom_jakosci,listopad_2023,,,640000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,27.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,405000.0,,,,,,,,,,,,
apartamentowiec,32.52,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,396744.0,,,,,,,,,,,,,,,,
apartamentowiec,35.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,402500.0,,,,,,,,,,,,,664333.3333333334,,,
apartamentowiec,35.1,nizki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650000.0,
apartamentowiec,37.0,nizki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549000.0,,
apartamentowiec,37.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,352000.0,,,,,,,,,,,,,,,,
apartamentowiec,38.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,610000.0,,,,,,,,,,,,,,,,795000.0,,,
apartamentowiec,38.6,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599000.0,,,
apartamentowiec,42.5,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550000.0,,,
apartamentowiec,50.44,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650000.0,,,
apartamentowiec,53.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,742000.0,,,,,,,,,1006333.3333333334,,,
apartamentowiec,56.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,759450.0,,,,,,,,,,,,,,450000.0,,999833.3333333334,,,
apartamentowiec,59.4,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,799000.0,,,590000.0,,,,,,,,,,,,,,,,
apartamentowiec,60.6,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,727200.0,,,,,,,,,,,,,,,,
apartamentowiec,60.8,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,1520000.0,,,,,,,,,,,,,,,,,,,
apartamentowiec,74.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,1180000.0,,,920000.0,,,,,,,,,,,,,1647000.0,,,
apartamentowiec,85.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1190000.0,,,
apartamentowiec,90.0,nizki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,1200000.0,,,,,,,,,,,,,,,,,,,
apartamentowiec,90.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940000.0,,,
apartamentowiec,92.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,699000.0,,,,,,,,,,,,,1935000.0,,,
apartamentowiec,94.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,895000.0
apartamentowiec,98.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,833000.0,,,,,,,,,,,,,2390000.0,,,
apartamentowiec,26.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465000.0,
apartamentowiec,40.0,nizki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,715000.0,,,,,,,,,,,,,,,,599900.0,,,
apartamentowiec,40.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,924250.0,,,
apartamentowiec,41.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,730000.0,,,,,,,,,,,,548000.0,,,,882499.8,,,
apartamentowiec,62.49,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,790000.0,,,,,,,,,,,,
apartamentowiec,65.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,1049000.0,,,,,,,,,,,,,,,,,,,,,,1278500.0,,889663.3333333334,
apartamentowiec,68.0,nizki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,960000.0,,,,,,,,,,,,,,,,890000.0,,,
apartamentowiec,68.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,799000.0,,,,1195000.0,,,,,715000.0,,,,,,,,,,,1326666.6666666667,,,
apartamentowiec,69.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,1117800.0,,,,,,,,,,,,,,,,1340750.0,1250000.0,,
