rodzaj_zabudowy,metry_kwadratowe,stan_mieszkania,okres,bialystok_wlasnosc_prywatna,bialystok_spółdzielnia,bydgoszcz_wlasnosc_prywatna,bydgoszcz_spółdzielnia,czestochowa_wlasnosc_prywatna,czestochowa_spółdzielnia,gdansk_wlasnosc_prywatna,gdansk_spółdzielnia,gdynia_wlasnosc_prywatna,gdynia_spółdzielnia,katowice_wlasnosc_prywatna,katowice_spółdzielnia,krakow_wlasnosc_prywatna,krakow_spółdzielnia,lodz_wlasnosc_prywatna,lodz_spółdzielnia,lublin_wlasnosc_prywatna,lublin_spółdzielnia,poznan_wlasnosc_prywatna,poznan_spółdzielnia,radom_wlasnosc_prywatna,radom_spółdzielnia,rzeszow_wlasnosc_prywatna,rzeszow_spółdzielnia,szczecin_wlasnosc_prywatna,szczecin_spółdzielnia,warszawa_wlasnosc_prywatna,warszawa_spółdzielnia,wroclaw_wlasnosc_prywatna,wroclaw_spółdzielnia
apartamentowiec,37.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,802500.0,,329000.0,,,,,,,,,,,,650000.0,,575000.0,
apartamentowiec,38.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,647500.0,,,,,,,,,,,,,,790800.0,,,
apartamentowiec,44.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,1161100.0,,,,,,,,,,,,699000.0,,1024333.3333333334,,652000.0,
apartamentowiec,46.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,999000.0,,,,,,1000250.0,,,,,,,,,,,,,,999000.0,,860000.0,
apartamentowiec,46.54,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,839500.0,,,
apartamentowiec,47.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,1050000.0,,,,,,,,,,,,600000.0,,1016333.3333333334,,890000.0,
apartamentowiec,47.5,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,1019900.0,,,
apartamentowiec,47.64,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,,,,,,,665000.0,,,,,,,,,,,
apartamentowiec,50.0,nizki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,880000.0,,633000.0,
apartamentowiec,50.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,1470000.0,,,,833150.0,,250000.0,,,,,,,,,,,,1059333.3333333333,,736633.3333333334,629000.0
apartamentowiec,51.0,nizki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,780000.0,,,
apartamentowiec,51.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,799000.0,,,,,,1068166.6666666667,,,,,,,,,,,,,,1209450.0,,757000.0,
apartamentowiec,53.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,,,646000.0,,,,680000.0,,,,,,,,1018333.3333333334,,815000.0,
apartamentowiec,54.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,,,680000.0,,,,,,,,,,,,1090773.0,,864250.0,
apartamentowiec,60.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,1418642.5,,580000.0,,630000.0,,,,,,,,,,947400.0,,819000.0,
apartamentowiec,63.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,1450000.0,,,,,,,,,,,,,,1298333.3333333333,,797966.6666666666,
apartamentowiec,73.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,1702500.0,,840000.0,,,,,,,,,,,,1377175.0,,949900.0,
apartamentowiec,85.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,1699000.0,,720000.0,,,,1114350.0,,,,,,,,1990000.0,,,
apartamentowiec,87.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,1739500.0,,,
