miasto,rodzaj_zabudowy,metry_kwadratowe,ilosc_pokojow,rok_zabudowy,rodzaj_wlasnosci,stan_mieszkania,wartosc,okres
szczecin,blok_mieszkań,33.0,2.0,2000.0,spółdzielnia,wysoki_poziom_jakosci,394000,listopad_2023
szczecin,blok_mieszkań,51.8,3.0,1980.0,spółdzielnia,wysoki_poziom_jakosci,489999,listopad_2023
szczecin,,71.03,3.0,2015.0,wlasnosc_prywatna,wysoki_poziom_jakosci,769999,listopad_2023
szczecin,kamienica,103.0,4.0,1920.0,wlasnosc_prywatna,wysoki_poziom_jakosci,798000,listopad_2023
szczecin,blok_mieszkań,77.0,3.0,1906.0,wlasnosc_prywatna,wysoki_poziom_jakosci,660000,listopad_2023
szczecin,kamienica,46.52,2.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,450000,listopad_2023
szczecin,blok_mieszkań,43.3,2.0,1976.0,wlasnosc_prywatna,nizki_poziom_jakosci,329000,listopad_2023
szczecin,,63.4,3.0,,wlasnosc_prywatna,,500000,listopad_2023
szczecin,,51.31,2.0,2017.0,wlasnosc_prywatna,,664000,listopad_2023
szczecin,,47.93,2.0,,wlasnosc_prywatna,wysoki_poziom_jakosci,379000,listopad_2023
szczecin,blok_mieszkań,98.92,4.0,2010.0,wlasnosc_prywatna,wysoki_poziom_jakosci,890000,listopad_2023
szczecin,kamienica,53.0,2.0,1890.0,wlasnosc_prywatna,wysoki_poziom_jakosci,629000,listopad_2023
szczecin,kamienica,64.0,3.0,1958.0,wlasnosc_prywatna,nizki_poziom_jakosci,479000,listopad_2023
szczecin,kamienica,43.5,2.0,1930.0,wlasnosc_prywatna,,530000,listopad_2023
szczecin,kamienica,107.37,4.0,1930.0,wlasnosc_prywatna,,620000,listopad_2023
szczecin,blok_mieszkań,64.65,3.0,2000.0,spółdzielnia,wysoki_poziom_jakosci,585000,listopad_2023
szczecin,kamienica,56.0,2.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,445000,listopad_2023
szczecin,kamienica,59.0,2.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,465000,listopad_2023
szczecin,kamienica,48.05,2.0,1939.0,wlasnosc_prywatna,nizki_poziom_jakosci,350000,listopad_2023
szczecin,blok_mieszkań,49.26,2.0,1980.0,wlasnosc_prywatna,,385000,listopad_2023
szczecin,kamienica,91.03,3.0,1930.0,wlasnosc_prywatna,,680000,listopad_2023
szczecin,blok_mieszkań,34.68,2.0,2003.0,wlasnosc_prywatna,nizki_poziom_jakosci,385000,listopad_2023
szczecin,blok_mieszkań,87.3,4.0,1980.0,spółdzielnia,nizki_poziom_jakosci,640000,listopad_2023
szczecin,kamienica,60.0,3.0,1930.0,wlasnosc_prywatna,nizki_poziom_jakosci,499000,listopad_2023
szczecin,kamienica,80.0,4.0,1910.0,wlasnosc_prywatna,nizki_poziom_jakosci,440000,listopad_2023
szczecin,kamienica,56.0,3.0,1920.0,wlasnosc_prywatna,wysoki_poziom_jakosci,445000,listopad_2023
szczecin,kamienica,40.0,2.0,1950.0,wlasnosc_prywatna,wysoki_poziom_jakosci,320000,listopad_2023
szczecin,blok_mieszkań,48.5,2.0,1985.0,wlasnosc_prywatna,,435000,listopad_2023
szczecin,,81.9,3.0,1989.0,spółdzielnia,,729000,listopad_2023
szczecin,kamienica,42.79,2.0,1930.0,wlasnosc_prywatna,nizki_poziom_jakosci,299000,listopad_2023
szczecin,blok_mieszkań,61.31,3.0,2020.0,wlasnosc_prywatna,wysoki_poziom_jakosci,650000,listopad_2023
szczecin,blok_mieszkań,70.55,4.0,1987.0,wlasnosc_prywatna,,515000,listopad_2023
szczecin,blok_mieszkań,38.0,2.0,1981.0,spółdzielnia,,365000,listopad_2023
szczecin,blok_mieszkań,51.66,3.0,2017.0,wlasnosc_prywatna,wysoki_poziom_jakosci,499000,listopad_2023
szczecin,blok_mieszkań,47.17,3.0,1938.0,wlasnosc_prywatna,nizki_poziom_jakosci,350000,listopad_2023
szczecin,kamienica,59.0,3.0,1960.0,wlasnosc_prywatna,,465000,listopad_2023
szczecin,,53.0,3.0,1975.0,spółdzielnia,,409000,listopad_2023
szczecin,kamienica,56.0,3.0,1960.0,wlasnosc_prywatna,,445000,listopad_2023
szczecin,blok_mieszkań,76.37,3.0,2000.0,wlasnosc_prywatna,wysoki_poziom_jakosci,820000,listopad_2023
szczecin,blok_mieszkań,60.48,3.0,2023.0,wlasnosc_prywatna,,499000,listopad_2023
szczecin,kamienica,136.0,5.0,,wlasnosc_prywatna,wysoki_poziom_jakosci,949000,listopad_2023
szczecin,,67.95,3.0,,wlasnosc_prywatna,,390000,listopad_2023
szczecin,kamienica,71.76,3.0,1910.0,wlasnosc_prywatna,wysoki_poziom_jakosci,479000,listopad_2023
szczecin,blok_mieszkań,48.0,2.0,1974.0,spółdzielnia,wysoki_poziom_jakosci,535000,listopad_2023
szczecin,,104.35,4.0,,wlasnosc_prywatna,wysoki_poziom_jakosci,769000,listopad_2023
szczecin,,32.0,1.0,1980.0,spółdzielnia,,279000,listopad_2023
szczecin,apartamentowiec,67.52,3.0,2017.0,wlasnosc_prywatna,wysoki_poziom_jakosci,659000,listopad_2023
szczecin,blok_mieszkań,49.2,2.0,1987.0,wlasnosc_prywatna,,418000,listopad_2023
szczecin,blok_mieszkań,32.54,1.0,2007.0,wlasnosc_prywatna,wysoki_poziom_jakosci,369000,listopad_2023
szczecin,blok_mieszkań,51.0,2.0,1990.0,wlasnosc_prywatna,wysoki_poziom_jakosci,530000,listopad_2023
szczecin,blok_mieszkań,64.5,3.0,2000.0,wlasnosc_prywatna,wysoki_poziom_jakosci,585000,listopad_2023
szczecin,blok_mieszkań,36.4,2.0,,wlasnosc_prywatna,,310000,listopad_2023
szczecin,kamienica,102.8,4.0,1930.0,wlasnosc_prywatna,nizki_poziom_jakosci,499000,listopad_2023
szczecin,kamienica,50.0,2.0,,wlasnosc_prywatna,,375000,listopad_2023
szczecin,kamienica,64.94,3.0,1935.0,wlasnosc_prywatna,nizki_poziom_jakosci,440000,listopad_2023
szczecin,kamienica,36.0,2.0,1920.0,wlasnosc_prywatna,nizki_poziom_jakosci,265000,listopad_2023
szczecin,kamienica,131.83,5.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,859000,listopad_2023
szczecin,,73.53,3.0,,wlasnosc_prywatna,,529900,listopad_2023
