miasto,rodzaj_zabudowy,metry_kwadratowe,ilosc_pokojow,rok_zabudowy,rodzaj_wlasnosci,stan_mieszkania,wartosc,okres
szczecin,kamienica,51.13,3.0,1930.0,wlasnosc_prywatna,,375000,marzec_2024
szczecin,blok_mieszkań,47.2,2.0,1985.0,spółdzielnia,wysoki_poziom_jakosci,469999,marzec_2024
szczecin,,37.0,2.0,,wlasnosc_prywatna,,444000,marzec_2024
szczecin,blok_mieszkań,150.0,5.0,1992.0,wlasnosc_prywatna,,940000,marzec_2024
szczecin,apartamentowiec,44.0,2.0,2021.0,wlasnosc_prywatna,wysoki_poziom_jakosci,699000,marzec_2024
szczecin,blok_mieszkań,64.5,3.0,2000.0,spółdzielnia,,585000,marzec_2024
szczecin,blok_mieszkań,42.13,2.0,2010.0,wlasnosc_prywatna,wysoki_poziom_jakosci,599000,marzec_2024
szczecin,apartamentowiec,67.7,3.0,2018.0,wlasnosc_prywatna,wysoki_poziom_jakosci,860000,marzec_2024
szczecin,kamienica,68.11,3.0,1930.0,wlasnosc_prywatna,nizki_poziom_jakosci,487500,marzec_2024
szczecin,kamienica,84.0,3.0,1905.0,wlasnosc_prywatna,wysoki_poziom_jakosci,629000,marzec_2024
szczecin,blok_mieszkań,46.03,2.0,1980.0,wlasnosc_prywatna,wysoki_poziom_jakosci,489000,marzec_2024
szczecin,blok_mieszkań,56.6,2.0,2007.0,wlasnosc_prywatna,wysoki_poziom_jakosci,569000,marzec_2024
szczecin,blok_mieszkań,47.5,2.0,2012.0,wlasnosc_prywatna,wysoki_poziom_jakosci,550000,marzec_2024
szczecin,blok_mieszkań,34.4,2.0,1960.0,spółdzielnia,nizki_poziom_jakosci,294000,marzec_2024
szczecin,blok_mieszkań,36.8,2.0,1960.0,wlasnosc_prywatna,wysoki_poziom_jakosci,362000,marzec_2024
szczecin,blok_mieszkań,50.69,3.0,2016.0,wlasnosc_prywatna,wysoki_poziom_jakosci,507000,marzec_2024
szczecin,kamienica,41.85,2.0,1920.0,wlasnosc_prywatna,nizki_poziom_jakosci,390000,marzec_2024
szczecin,blok_mieszkań,31.0,1.0,1975.0,spółdzielnia,,339000,marzec_2024
szczecin,blok_mieszkań,57.0,3.0,2019.0,wlasnosc_prywatna,wysoki_poziom_jakosci,800000,marzec_2024
szczecin,kamienica,54.12,3.0,1940.0,wlasnosc_prywatna,nizki_poziom_jakosci,415000,marzec_2024
szczecin,apartamentowiec,69.1,3.0,2017.0,wlasnosc_prywatna,wysoki_poziom_jakosci,799999,marzec_2024
szczecin,kamienica,33.0,2.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,380000,marzec_2024
szczecin,kamienica,46.15,2.0,1960.0,wlasnosc_prywatna,wysoki_poziom_jakosci,439000,marzec_2024
szczecin,blok_mieszkań,53.0,3.0,1983.0,wlasnosc_prywatna,wysoki_poziom_jakosci,551000,marzec_2024
szczecin,blok_mieszkań,29.0,2.0,1970.0,spółdzielnia,wysoki_poziom_jakosci,330000,marzec_2024
szczecin,blok_mieszkań,33.19,2.0,2023.0,wlasnosc_prywatna,wysoki_poziom_jakosci,405500,marzec_2024
szczecin,kamienica,38.3,2.0,1940.0,wlasnosc_prywatna,wysoki_poziom_jakosci,330000,marzec_2024
szczecin,blok_mieszkań,35.0,1.0,1990.0,wlasnosc_prywatna,wysoki_poziom_jakosci,380000,marzec_2024
szczecin,kamienica,51.5,3.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,509000,marzec_2024
szczecin,blok_mieszkań,56.2,3.0,1980.0,spółdzielnia,wysoki_poziom_jakosci,529000,marzec_2024
szczecin,blok_mieszkań,46.16,3.0,1967.0,wlasnosc_prywatna,wysoki_poziom_jakosci,515000,marzec_2024
szczecin,apartamentowiec,58.23,3.0,2016.0,wlasnosc_prywatna,wysoki_poziom_jakosci,699999,marzec_2024
szczecin,kamienica,60.0,3.0,1930.0,wlasnosc_prywatna,nizki_poziom_jakosci,485000,marzec_2024
szczecin,kamienica,80.0,4.0,1910.0,wlasnosc_prywatna,nizki_poziom_jakosci,420000,marzec_2024
szczecin,blok_mieszkań,49.2,2.0,1987.0,spółdzielnia,,425000,marzec_2024
szczecin,kamienica,103.0,4.0,1920.0,wlasnosc_prywatna,wysoki_poziom_jakosci,798000,marzec_2024
szczecin,blok_mieszkań,77.0,3.0,1906.0,wlasnosc_prywatna,wysoki_poziom_jakosci,660000,marzec_2024
szczecin,blok_mieszkań,33.31,1.0,1963.0,spółdzielnia,,390000,marzec_2024
szczecin,,52.51,4.0,1967.0,wlasnosc_prywatna,,549000,marzec_2024
szczecin,kamienica,110.0,4.0,1933.0,wlasnosc_prywatna,,760000,marzec_2024
szczecin,blok_mieszkań,45.06,2.0,2004.0,wlasnosc_prywatna,nizki_poziom_jakosci,500000,marzec_2024
szczecin,kamienica,40.35,2.0,1930.0,wlasnosc_prywatna,,369000,marzec_2024
szczecin,blok_mieszkań,58.6,3.0,2022.0,wlasnosc_prywatna,wysoki_poziom_jakosci,795000,marzec_2024
szczecin,blok_mieszkań,37.49,2.0,1969.0,wlasnosc_prywatna,nizki_poziom_jakosci,365000,marzec_2024
szczecin,kamienica,70.48,3.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,585000,marzec_2024
