miasto,rodzaj_zabudowy,metry_kwadratowe,ilosc_pokojow,rok_zabudowy,rodzaj_wlasnosci,stan_mieszkania,wartosc,okres
szczecin,kamienica,65.0,3.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,499000,grudzien_2023
szczecin,blok_mieszkań,60.44,3.0,1960.0,wlasnosc_prywatna,nizki_poziom_jakosci,435000,grudzien_2023
szczecin,blok_mieszkań,77.7,4.0,2009.0,wlasnosc_prywatna,wysoki_poziom_jakosci,748000,grudzien_2023
szczecin,blok_mieszkań,33.0,2.0,2000.0,spółdzielnia,wysoki_poziom_jakosci,370000,grudzien_2023
szczecin,blok_mieszkań,51.8,3.0,1980.0,spółdzielnia,wysoki_poziom_jakosci,489999,grudzien_2023
szczecin,,71.03,3.0,2015.0,wlasnosc_prywatna,wysoki_poziom_jakosci,769999,grudzien_2023
szczecin,kamienica,103.0,4.0,1920.0,wlasnosc_prywatna,wysoki_poziom_jakosci,798000,grudzien_2023
szczecin,blok_mieszkań,77.0,3.0,1906.0,wlasnosc_prywatna,wysoki_poziom_jakosci,660000,grudzien_2023
szczecin,kamienica,46.52,2.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,450000,grudzien_2023
szczecin,blok_mieszkań,53.0,3.0,1983.0,spółdzielnia,wysoki_poziom_jakosci,551000,grudzien_2023
szczecin,blok_mieszkań,29.0,2.0,1970.0,spółdzielnia,wysoki_poziom_jakosci,330000,grudzien_2023
szczecin,blok_mieszkań,33.19,2.0,2023.0,wlasnosc_prywatna,wysoki_poziom_jakosci,435500,grudzien_2023
szczecin,kamienica,38.3,2.0,1940.0,wlasnosc_prywatna,wysoki_poziom_jakosci,330000,grudzien_2023
szczecin,blok_mieszkań,48.0,3.0,1970.0,wlasnosc_prywatna,wysoki_poziom_jakosci,550000,grudzien_2023
szczecin,blok_mieszkań,35.0,1.0,1990.0,wlasnosc_prywatna,wysoki_poziom_jakosci,420000,grudzien_2023
szczecin,kamienica,51.5,3.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,509000,grudzien_2023
szczecin,blok_mieszkań,69.07,3.0,2020.0,wlasnosc_prywatna,wysoki_poziom_jakosci,725000,grudzien_2023
szczecin,blok_mieszkań,60.0,3.0,1960.0,spółdzielnia,wysoki_poziom_jakosci,520000,grudzien_2023
szczecin,blok_mieszkań,56.2,3.0,1980.0,spółdzielnia,wysoki_poziom_jakosci,560000,grudzien_2023
szczecin,,40.0,2.0,2020.0,wlasnosc_prywatna,,569000,grudzien_2023
szczecin,,96.4,4.0,,wlasnosc_prywatna,,595000,grudzien_2023
szczecin,kamienica,131.83,5.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,799000,grudzien_2023
szczecin,kamienica,90.22,4.0,1900.0,wlasnosc_prywatna,nizki_poziom_jakosci,549000,grudzien_2023
szczecin,kamienica,77.4,3.0,1930.0,wlasnosc_prywatna,,499000,grudzien_2023
szczecin,,53.2,3.0,1976.0,spółdzielnia,,480000,grudzien_2023
szczecin,blok_mieszkań,53.0,2.0,1918.0,wlasnosc_prywatna,wysoki_poziom_jakosci,429000,grudzien_2023
szczecin,kamienica,45.44,3.0,1950.0,wlasnosc_prywatna,nizki_poziom_jakosci,380000,grudzien_2023
szczecin,blok_mieszkań,84.8,4.0,1990.0,wlasnosc_prywatna,,599000,grudzien_2023
szczecin,kamienica,56.0,2.0,1960.0,wlasnosc_prywatna,,445000,grudzien_2023
szczecin,blok_mieszkań,49.31,3.0,2017.0,wlasnosc_prywatna,wysoki_poziom_jakosci,669000,grudzien_2023
szczecin,,56.74,2.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,475000,grudzien_2023
szczecin,kamienica,59.8,3.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,689000,grudzien_2023
szczecin,blok_mieszkań,87.0,4.0,2022.0,wlasnosc_prywatna,wysoki_poziom_jakosci,1195000,grudzien_2023
szczecin,apartamentowiec,86.45,4.0,2023.0,wlasnosc_prywatna,,799000,grudzien_2023
szczecin,blok_mieszkań,42.74,3.0,1960.0,wlasnosc_prywatna,wysoki_poziom_jakosci,335000,grudzien_2023
szczecin,blok_mieszkań,26.3,1.0,1980.0,spółdzielnia,nizki_poziom_jakosci,279000,grudzien_2023
szczecin,kamienica,49.7,2.0,1950.0,wlasnosc_prywatna,wysoki_poziom_jakosci,474000,grudzien_2023
szczecin,,97.12,3.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,769000,grudzien_2023
szczecin,blok_mieszkań,87.6,4.0,2010.0,wlasnosc_prywatna,nizki_poziom_jakosci,766000,grudzien_2023
szczecin,kamienica,101.0,3.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,559000,grudzien_2023
szczecin,blok_mieszkań,42.0,2.0,1997.0,wlasnosc_prywatna,,299000,grudzien_2023
szczecin,kamienica,104.0,4.0,1930.0,wlasnosc_prywatna,,720000,grudzien_2023
szczecin,kamienica,101.0,3.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,559000,grudzien_2023
szczecin,,77.86,4.0,1991.0,wlasnosc_prywatna,nizki_poziom_jakosci,480000,grudzien_2023
szczecin,,57.0,2.0,1980.0,spółdzielnia,,395000,grudzien_2023
szczecin,kamienica,43.86,2.0,1920.0,wlasnosc_prywatna,nizki_poziom_jakosci,350000,grudzien_2023
szczecin,blok_mieszkań,52.0,2.0,2001.0,wlasnosc_prywatna,wysoki_poziom_jakosci,450000,grudzien_2023
szczecin,,44.54,2.0,2021.0,wlasnosc_prywatna,wysoki_poziom_jakosci,529000,grudzien_2023
szczecin,,69.0,3.0,1994.0,spółdzielnia,,580000,grudzien_2023
szczecin,apartamentowiec,68.0,3.0,2001.0,spółdzielnia,wysoki_poziom_jakosci,715000,grudzien_2023
szczecin,kamienica,48.0,2.0,1935.0,wlasnosc_prywatna,nizki_poziom_jakosci,385000,grudzien_2023
szczecin,blok_mieszkań,58.79,3.0,2003.0,wlasnosc_prywatna,nizki_poziom_jakosci,549000,grudzien_2023
szczecin,kamienica,82.25,3.0,1930.0,wlasnosc_prywatna,,599000,grudzien_2023
szczecin,blok_mieszkań,63.5,3.0,1985.0,spółdzielnia,wysoki_poziom_jakosci,550000,grudzien_2023
szczecin,blok_mieszkań,69.01,3.0,2017.0,wlasnosc_prywatna,wysoki_poziom_jakosci,879000,grudzien_2023
szczecin,kamienica,52.0,2.0,1939.0,wlasnosc_prywatna,,430000,grudzien_2023
szczecin,blok_mieszkań,69.1,3.0,2018.0,wlasnosc_prywatna,wysoki_poziom_jakosci,879000,grudzien_2023
szczecin,kamienica,74.6,3.0,1930.0,wlasnosc_prywatna,,639000,grudzien_2023
szczecin,kamienica,76.64,4.0,1907.0,wlasnosc_prywatna,wysoki_poziom_jakosci,650000,grudzien_2023
szczecin,blok_mieszkań,36.7,2.0,1960.0,spółdzielnia,,409000,grudzien_2023
szczecin,blok_mieszkań,66.7,3.0,,wlasnosc_prywatna,wysoki_poziom_jakosci,750000,grudzien_2023
szczecin,blok_mieszkań,76.64,3.0,1990.0,spółdzielnia,wysoki_poziom_jakosci,699000,grudzien_2023
szczecin,blok_mieszkań,48.0,2.0,1980.0,wlasnosc_prywatna,nizki_poziom_jakosci,389000,grudzien_2023
szczecin,blok_mieszkań,65.17,2.0,2001.0,wlasnosc_prywatna,wysoki_poziom_jakosci,850000,grudzien_2023
szczecin,blok_mieszkań,95.0,3.0,2018.0,wlasnosc_prywatna,wysoki_poziom_jakosci,1190000,grudzien_2023
szczecin,blok_mieszkań,37.5,2.0,1970.0,spółdzielnia,wysoki_poziom_jakosci,420000,grudzien_2023
szczecin,blok_mieszkań,58.23,3.0,2016.0,wlasnosc_prywatna,wysoki_poziom_jakosci,699000,grudzien_2023
szczecin,blok_mieszkań,61.96,3.0,1974.0,wlasnosc_prywatna,,560000,grudzien_2023
szczecin,kamienica,73.0,4.0,,wlasnosc_prywatna,,470000,grudzien_2023
szczecin,,51.31,2.0,2017.0,wlasnosc_prywatna,,615000,grudzien_2023
szczecin,blok_mieszkań,63.6,4.0,1980.0,spółdzielnia,wysoki_poziom_jakosci,580000,grudzien_2023
szczecin,blok_mieszkań,69.91,4.0,1976.0,wlasnosc_prywatna,wysoki_poziom_jakosci,579000,grudzien_2023
szczecin,blok_mieszkań,64.27,3.0,1988.0,spółdzielnia,wysoki_poziom_jakosci,615000,grudzien_2023
szczecin,blok_mieszkań,65.0,3.0,2021.0,wlasnosc_prywatna,wysoki_poziom_jakosci,780000,grudzien_2023
szczecin,blok_mieszkań,40.0,2.0,1980.0,wlasnosc_prywatna,,475000,grudzien_2023
szczecin,kamienica,48.0,2.0,1935.0,wlasnosc_prywatna,nizki_poziom_jakosci,385000,grudzien_2023
szczecin,blok_mieszkań,87.0,4.0,2004.0,wlasnosc_prywatna,wysoki_poziom_jakosci,829000,grudzien_2023
szczecin,blok_mieszkań,39.4,2.0,1970.0,spółdzielnia,,339000,grudzien_2023
szczecin,blok_mieszkań,51.76,2.0,1998.0,wlasnosc_prywatna,,549000,grudzien_2023
szczecin,blok_mieszkań,47.09,3.0,1970.0,wlasnosc_prywatna,wysoki_poziom_jakosci,549000,grudzien_2023
szczecin,blok_mieszkań,70.3,3.0,1988.0,wlasnosc_prywatna,wysoki_poziom_jakosci,689000,grudzien_2023
szczecin,kamienica,65.77,3.0,1930.0,wlasnosc_prywatna,,475000,grudzien_2023
szczecin,apartamentowiec,75.7,3.0,2012.0,wlasnosc_prywatna,,915000,grudzien_2023
szczecin,blok_mieszkań,91.0,4.0,1932.0,wlasnosc_prywatna,wysoki_poziom_jakosci,512000,grudzien_2023
szczecin,kamienica,85.66,3.0,1930.0,wlasnosc_prywatna,,549900,grudzien_2023
szczecin,,59.0,2.0,1930.0,wlasnosc_prywatna,nizki_poziom_jakosci,499000,grudzien_2023
szczecin,kamienica,59.0,2.0,1920.0,wlasnosc_prywatna,nizki_poziom_jakosci,499000,grudzien_2023
szczecin,blok_mieszkań,87.0,4.0,2022.0,wlasnosc_prywatna,wysoki_poziom_jakosci,1165000,grudzien_2023
szczecin,blok_mieszkań,47.09,3.0,1970.0,wlasnosc_prywatna,,545000,grudzien_2023
szczecin,blok_mieszkań,30.3,1.0,1970.0,spółdzielnia,,290000,grudzien_2023
szczecin,,61.43,3.0,2013.0,wlasnosc_prywatna,wysoki_poziom_jakosci,599000,grudzien_2023
szczecin,apartamentowiec,75.33,3.0,2020.0,wlasnosc_prywatna,wysoki_poziom_jakosci,999000,grudzien_2023
szczecin,kamienica,96.16,3.0,1895.0,wlasnosc_prywatna,wysoki_poziom_jakosci,710000,grudzien_2023
szczecin,blok_mieszkań,79.82,3.0,2010.0,wlasnosc_prywatna,wysoki_poziom_jakosci,820000,grudzien_2023
szczecin,,76.79,4.0,2017.0,wlasnosc_prywatna,wysoki_poziom_jakosci,799000,grudzien_2023
szczecin,blok_mieszkań,55.0,3.0,1997.0,spółdzielnia,wysoki_poziom_jakosci,449000,grudzien_2023
szczecin,kamienica,65.0,2.0,1870.0,wlasnosc_prywatna,wysoki_poziom_jakosci,637000,grudzien_2023
szczecin,,47.09,3.0,1986.0,wlasnosc_prywatna,wysoki_poziom_jakosci,549000,grudzien_2023
szczecin,blok_mieszkań,68.2,3.0,2013.0,wlasnosc_prywatna,wysoki_poziom_jakosci,739000,grudzien_2023
szczecin,blok_mieszkań,42.42,2.0,1999.0,wlasnosc_prywatna,,420000,grudzien_2023
szczecin,blok_mieszkań,31.0,1.0,,wlasnosc_prywatna,nizki_poziom_jakosci,290000,grudzien_2023
szczecin,kamienica,68.52,2.0,,wlasnosc_prywatna,nizki_poziom_jakosci,476000,grudzien_2023
szczecin,blok_mieszkań,72.96,4.0,1980.0,wlasnosc_prywatna,wysoki_poziom_jakosci,529000,grudzien_2023
szczecin,blok_mieszkań,43.3,2.0,1970.0,wlasnosc_prywatna,nizki_poziom_jakosci,309000,grudzien_2023
szczecin,blok_mieszkań,122.5,5.0,1992.0,spółdzielnia,,940000,grudzien_2023
szczecin,blok_mieszkań,64.65,3.0,2000.0,spółdzielnia,,585000,grudzien_2023
szczecin,kamienica,50.0,2.0,,wlasnosc_prywatna,,496000,grudzien_2023
szczecin,apartamentowiec,50.0,2.0,2013.0,wlasnosc_prywatna,wysoki_poziom_jakosci,580000,grudzien_2023
szczecin,,96.4,4.0,1940.0,wlasnosc_prywatna,,589000,grudzien_2023
szczecin,blok_mieszkań,39.5,3.0,1932.0,wlasnosc_prywatna,,310000,grudzien_2023
szczecin,,75.0,4.0,1930.0,wlasnosc_prywatna,,525000,grudzien_2023
szczecin,blok_mieszkań,61.36,4.0,2002.0,wlasnosc_prywatna,wysoki_poziom_jakosci,615000,grudzien_2023
szczecin,blok_mieszkań,50.0,2.0,1965.0,wlasnosc_prywatna,,559000,grudzien_2023
szczecin,blok_mieszkań,58.8,2.0,1936.0,wlasnosc_prywatna,nizki_poziom_jakosci,499000,grudzien_2023
szczecin,blok_mieszkań,96.4,4.0,1960.0,wlasnosc_prywatna,wysoki_poziom_jakosci,595000,grudzien_2023
szczecin,,43.0,2.0,,wlasnosc_prywatna,,350000,grudzien_2023
szczecin,kamienica,72.96,4.0,1900.0,wlasnosc_prywatna,,529000,grudzien_2023
szczecin,blok_mieszkań,60.0,2.0,,wlasnosc_prywatna,,560000,grudzien_2023
szczecin,blok_mieszkań,49.7,2.0,1985.0,wlasnosc_prywatna,,379000,grudzien_2023
